timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload_inertia_0,payload_inertia_1,payload_inertia_2,payload_inertia_3,payload_inertia_4,payload_inertia_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
241499.114000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260921,-0.418570,-0.238800,-0.000095,0.000000,0.000000,-23.522587,-4.324992,-1.846362,-0.000752,0.000000,1.437473,-1.089144,2.525861,3.275365,1.572120,3.357390,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.224443,-1.843990,-0.693806,-0.175467,-0.021857,-0.036432,0.000000,-2.260921,-0.418570,-0.238800,-0.000095,0.000000,0.086285,-0.363170,0.250118,0.000001,0.000013,-3.053773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.026828,3.878158,1.136781,-0.045049,0.070108,0.048408,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.000000,36.187500,0.645576,7,253,253,253,253,253,253,1,0.306458,0.134075,9.481039,0.000000,1.000000,0.000000,47.526573,47.581200,0.616566,47.470268,47.427269,47.541931,47.570599,47.384270,47.412937,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.392906,148.574703,19380.106798,-33.672455,-11.276480,33.973435,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.116000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260888,-0.418485,-0.238802,-0.000098,0.000000,-0.000000,-23.522251,-4.324105,-1.846377,-0.000769,0.000000,1.437502,-1.089164,2.525835,3.275332,1.572115,3.357349,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.271388,-1.816814,-0.742704,-0.185820,-0.005513,-0.031770,-0.000000,-2.260888,-0.418485,-0.238802,-0.000098,0.000000,0.086296,-0.363170,0.250132,-0.000026,-0.000104,-3.053785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.033350,3.863918,1.361752,-0.047670,0.069419,0.048055,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.000000,36.187500,0.645852,7,253,253,253,253,253,253,1,0.287304,0.095768,9.538500,0.000000,1.000000,0.000000,47.531944,47.584785,0.603141,47.498932,47.412937,47.527599,47.527599,47.341274,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.385133,148.588281,19380.332008,-33.669784,-11.276019,33.973086,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.118000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260895,-0.418560,-0.238796,-0.000097,0.000000,0.000000,-23.522317,-4.324885,-1.846331,-0.000766,0.000000,1.437497,-1.089122,2.525822,3.275377,1.572104,3.357411,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.254792,-1.863693,-0.710086,-0.165291,-0.029644,-0.038994,0.000000,-2.260895,-0.418560,-0.238796,-0.000097,0.000000,0.086294,-0.363183,0.250114,-0.000024,0.000011,-3.053728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.054969,3.827100,1.191616,-0.050206,0.072780,0.046053,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.000000,36.187500,0.642876,7,253,253,253,253,253,253,1,0.306458,0.229843,9.653421,0.000000,1.000000,0.000000,47.523888,47.561501,0.636710,47.470268,47.398605,47.556267,47.513268,47.341274,47.412937,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.360603,148.622930,19380.161574,-33.667554,-11.279595,33.971079,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.120000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260995,-0.418513,-0.238802,-0.000096,0.000000,0.000000,-23.523364,-4.324397,-1.846375,-0.000759,0.000000,1.437485,-1.089156,2.525840,3.275336,1.572137,3.357394,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.249890,-1.891404,-0.748392,-0.181445,-0.019486,-0.033015,0.000000,-2.260995,-0.418513,-0.238802,-0.000096,0.000000,0.086288,-0.363171,0.250128,0.000011,-0.000085,-3.053756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.123983,3.839735,1.106701,-0.049338,0.073675,0.051496,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.000000,36.187500,0.674340,7,253,253,253,253,253,253,1,0.248997,0.134075,9.519346,0.000000,1.000000,0.000000,47.487164,47.556129,0.663561,47.498932,47.412937,47.556267,47.527599,47.326939,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.292822,148.604312,19380.077001,-33.668498,-11.280407,33.976527,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.122000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260901,-0.418540,-0.238797,-0.000099,0.000000,0.000000,-23.522386,-4.324677,-1.846341,-0.000779,0.000000,1.437457,-1.089134,2.525827,3.275364,1.572111,3.357418,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.321916,-1.872240,-0.759430,-0.182854,-0.020684,-0.039155,0.000000,-2.260901,-0.418540,-0.238797,-0.000099,0.000000,0.086279,-0.363182,0.250119,-0.000019,-0.000022,-3.053761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.159514,3.667226,1.266076,-0.051442,0.072423,0.049872,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.641377,7,253,253,253,253,253,253,1,0.210690,0.095768,9.442732,0.000000,1.000000,0.000000,47.518509,47.561501,0.607612,47.498932,47.470268,47.527599,47.527599,47.369938,47.341274,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.242297,148.773113,19380.236130,-33.666290,-11.279345,33.974900,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.124000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260966,-0.418525,-0.238800,-0.000097,0.000000,-0.000000,-23.523054,-4.324525,-1.846363,-0.000764,0.000000,1.437432,-1.089135,2.525814,3.275352,1.572144,3.357378,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.227923,-1.837953,-0.734953,-0.176552,-0.022579,-0.035703,-0.000000,-2.260966,-0.418525,-0.238800,-0.000097,0.000000,0.086266,-0.363186,0.250123,0.000024,-0.000069,-3.053826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.387948,3.642299,1.208422,-0.051779,0.078599,0.047975,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.641809,7,253,253,253,253,253,253,1,0.248997,0.057461,9.461885,0.000000,1.000000,0.000000,47.513138,47.569561,0.565094,47.470268,47.398605,47.541931,47.513268,47.341274,47.384270,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.012263,148.778131,19380.178711,-33.666493,-11.285523,33.973006,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.126000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260983,-0.418548,-0.238798,-0.000099,0.000000,-0.000000,-23.523239,-4.324765,-1.846348,-0.000783,0.000000,1.437481,-1.089140,2.525799,3.275393,1.572120,3.357374,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.241498,-1.859104,-0.682179,-0.175784,-0.004290,-0.028561,-0.000000,-2.260983,-0.418548,-0.238798,-0.000099,0.000000,0.086285,-0.363191,0.250123,-0.000007,-0.000031,-3.053782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.456676,3.585815,1.226654,-0.056205,0.077443,0.042901,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.643752,7,253,253,253,253,253,253,1,0.306458,0.076614,9.404425,0.000000,1.000000,0.000000,47.497913,47.552544,0.623279,47.484600,47.412937,47.513268,47.441601,47.355606,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.939049,148.828220,19380.196761,-33.661984,-11.284763,33.967930,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.128000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.261004,-0.418586,-0.238800,-0.000098,0.000000,0.000000,-23.523458,-4.325149,-1.846360,-0.000769,0.000000,1.437485,-1.089119,2.525857,3.275389,1.572128,3.357406,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.219004,-1.865033,-0.717882,-0.193993,-0.021964,-0.029344,0.000000,-2.261004,-0.418586,-0.238800,-0.000098,0.000000,0.086288,-0.363175,0.250107,0.000025,0.000079,-3.053745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.428740,3.656168,1.000775,-0.051573,0.081534,0.043294,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.640620,7,253,253,253,253,253,253,1,0.248997,0.076614,9.442732,0.000000,1.000000,0.000000,47.497913,47.555233,0.625520,47.470268,47.427269,47.541931,47.513268,47.341274,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.973163,148.760532,19379.970697,-33.666959,-11.288438,33.968318,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.130000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260943,-0.418449,-0.238806,-0.000098,0.000000,-0.000000,-23.522823,-4.323742,-1.846403,-0.000774,0.000000,1.437448,-1.089152,2.525844,3.275361,1.572165,3.357406,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.241401,-1.884758,-0.719793,-0.171660,-0.020106,-0.032789,-0.000000,-2.260943,-0.418449,-0.238806,-0.000098,0.000000,0.086271,-0.363176,0.250123,0.000061,-0.000041,-3.053782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.357316,3.714663,0.957448,-0.049959,0.079109,0.041287,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.642372,7,253,253,253,253,253,253,1,0.134075,0.210690,9.461885,0.000000,1.000000,0.000000,47.506870,47.551651,0.578520,47.484600,47.412937,47.513268,47.527599,47.341274,47.412937,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.049263,148.708566,19379.927770,-33.668355,-11.285876,33.966318,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241499.132000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260903,-0.418526,-0.238800,-0.000101,0.000000,0.000000,-23.522405,-4.324531,-1.846361,-0.000795,0.000000,1.437518,-1.089156,2.525843,3.275377,1.572124,3.357357,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.318964,-1.861562,-0.719945,-0.183487,-0.022769,-0.030767,0.000000,-2.260903,-0.418526,-0.238800,-0.000101,0.000000,0.086300,-0.363172,0.250123,0.000003,-0.000014,-3.053761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.410245,3.600879,1.139238,-0.051358,0.080691,0.043113,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.437500,29.187500,27.687500,31.812500,35.000000,36.187500,0.639984,7,253,253,253,253,253,253,1,0.191536,0.134075,9.519346,0.000000,1.000000,0.000000,47.523888,47.582100,0.627756,47.498932,47.412937,47.513268,47.498932,47.326939,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.986695,148.817214,19380.109330,-33.667100,-11.287575,33.968141,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
