timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload_inertia_0,payload_inertia_1,payload_inertia_2,payload_inertia_3,payload_inertia_4,payload_inertia_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
241511.014000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260926,-0.418560,-0.238797,-0.000100,0.000000,0.000000,-23.522644,-4.324883,-1.846336,-0.000786,0.000000,1.437469,-1.089131,2.525810,3.275380,1.572145,3.357344,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.394497,-1.868716,-0.678998,-0.194657,-0.028251,-0.025745,0.000000,-2.260926,-0.418560,-0.238797,-0.000100,0.000000,0.086279,-0.363188,0.250119,0.000034,-0.000027,-3.053824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.375770,3.796977,0.598888,-0.051793,0.078834,0.053763,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.625000,31.812500,35.062500,36.187500,0.667873,7,253,253,253,253,253,253,1,0.248997,0.095768,9.481039,0.000000,1.000000,0.000000,47.490749,47.540901,0.596423,47.427269,47.384270,47.513268,47.527599,47.283943,47.384270,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.037941,148.625127,19379.569099,-33.666499,-11.285761,33.978793,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.016000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.261000,-0.418550,-0.238800,-0.000099,0.000000,-0.000000,-23.523417,-4.324778,-1.846364,-0.000784,0.000000,1.437464,-1.089135,2.525871,3.275331,1.572115,3.357397,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.329756,-1.838208,-0.634444,-0.188220,-0.029018,-0.037774,-0.000000,-2.261000,-0.418550,-0.238800,-0.000099,0.000000,0.086283,-0.363166,0.250116,-0.000009,-0.000008,-3.053775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.147145,3.637824,0.740204,-0.054234,0.071800,0.051534,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.625000,31.812500,35.062500,36.187500,0.655885,7,253,253,253,253,253,253,1,0.172383,0.076614,9.557653,0.000000,1.000000,0.000000,47.480896,47.530155,0.647900,47.484600,47.398605,47.498932,47.484600,47.326939,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.251981,148.803545,19379.710250,-33.663454,-11.278970,33.976562,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.018000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260886,-0.418450,-0.238801,-0.000097,0.000000,0.000000,-23.522227,-4.323752,-1.846368,-0.000766,0.000000,1.437518,-1.089122,2.525831,3.275397,1.572087,3.357336,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.354026,-1.828674,-0.683182,-0.207570,-0.026942,-0.026750,0.000000,-2.260886,-0.418450,-0.238801,-0.000097,0.000000,0.086303,-0.363180,0.250111,-0.000042,0.000058,-3.053782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.246267,3.616740,0.790634,-0.054069,0.072163,0.049166,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.644604,7,253,253,253,253,253,253,1,0.229843,0.134075,9.519346,0.000000,1.000000,0.000000,47.486271,47.522987,0.618802,47.498932,47.412937,47.541931,47.484600,47.312607,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.151393,148.815956,19379.760427,-33.663647,-11.279318,33.974189,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.020000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260982,-0.418499,-0.238804,-0.000095,0.000000,0.000000,-23.523219,-4.324259,-1.846391,-0.000750,0.000000,1.437452,-1.089097,2.525831,3.275365,1.572137,3.357427,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.334436,-1.861130,-0.703125,-0.197806,-0.023759,-0.023970,0.000000,-2.260982,-0.418499,-0.238804,-0.000095,0.000000,0.086274,-0.363185,0.250106,0.000031,0.000035,-3.053756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.466350,3.384023,0.726521,-0.062417,0.079640,0.050785,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.661776,7,253,253,253,253,253,253,1,0.172383,0.153229,9.519346,0.000000,1.000000,0.000000,47.507767,47.543587,0.558382,47.484600,47.427269,47.498932,47.513268,47.355606,47.384270,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.911768,149.028342,19379.696577,-33.655991,-11.287501,33.975812,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.022000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.261025,-0.418454,-0.238803,-0.000099,0.000000,0.000000,-23.523676,-4.323794,-1.846387,-0.000779,0.000000,1.437469,-1.089125,2.525831,3.275359,1.572137,3.357456,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.345474,-1.832443,-0.638343,-0.195112,-0.020837,-0.036304,0.000000,-2.261025,-0.418454,-0.238803,-0.000099,0.000000,0.086281,-0.363180,0.250116,0.000022,-0.000016,-3.053712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.092323,3.624660,0.585939,-0.056244,0.069815,0.049177,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.650028,7,253,253,253,253,253,253,1,0.191536,0.095768,9.500193,0.000000,1.000000,0.000000,47.506870,47.557022,0.556140,47.412937,47.384270,47.484600,47.484600,47.298275,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.305650,148.821218,19379.556085,-33.661283,-11.277172,33.974206,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.024000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260974,-0.418503,-0.238801,-0.000099,0.000000,-0.000000,-23.523139,-4.324292,-1.846367,-0.000779,0.000000,1.437481,-1.089115,2.525803,3.275373,1.572132,3.357369,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.335060,-1.864986,-0.675172,-0.201874,-0.015492,-0.029962,-0.000000,-2.260974,-0.418503,-0.238801,-0.000099,0.000000,0.086284,-0.363189,0.250115,0.000014,-0.000021,-3.053786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.478125,3.410080,0.712309,-0.059315,0.081532,0.051815,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.645780,7,253,253,253,253,253,253,1,0.210690,0.076614,9.500193,0.000000,1.000000,0.000000,47.472836,47.534634,0.587474,47.470268,47.384270,47.513268,47.498932,47.298275,47.369938,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.902233,149.001415,19379.682448,-33.659245,-11.289109,33.976844,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.026000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.261042,-0.418533,-0.238801,-0.000098,0.000000,0.000000,-23.523851,-4.324609,-1.846365,-0.000776,0.000000,1.437472,-1.089122,2.525835,3.275385,1.572120,3.357411,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.389087,-1.894312,-0.649569,-0.184949,-0.019864,-0.034150,0.000000,-2.261042,-0.418533,-0.238801,-0.000098,0.000000,0.086283,-0.363182,0.250112,0.000005,0.000038,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.104786,3.616414,0.775402,-0.055724,0.070888,0.050680,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.655980,7,253,253,253,253,253,253,1,0.172383,0.095768,9.481039,0.000000,1.000000,0.000000,47.505077,47.561501,0.654613,47.484600,47.384270,47.498932,47.498932,47.326939,47.384270,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.292365,148.828556,19379.745372,-33.661890,-11.278195,33.975705,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.028000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.260973,-0.418491,-0.238803,-0.000098,0.000000,0.000000,-23.523136,-4.324176,-1.846386,-0.000769,0.000000,1.437455,-1.089139,2.525810,3.275382,1.572103,3.357356,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.359364,-1.867563,-0.700469,-0.197142,-0.036711,-0.034792,0.000000,-2.260973,-0.418491,-0.238803,-0.000098,0.000000,0.086278,-0.363189,0.250122,-0.000031,-0.000025,-3.053825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.500043,3.682858,0.712517,-0.054740,0.078734,0.053116,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.681924,7,253,253,253,253,253,253,1,0.153229,0.114922,9.500193,0.000000,1.000000,0.000000,47.536423,47.577621,0.553905,47.527599,47.427269,47.541931,47.470268,47.326939,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-647.904212,148.727926,19379.682541,-33.663553,-11.285917,33.978144,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.030000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260987,-0.418563,-0.238800,-0.000096,0.000000,-0.000000,-23.523275,-4.324913,-1.846361,-0.000759,0.000000,1.437472,-1.089122,2.525844,3.275385,1.572120,3.357390,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.341817,-1.839897,-0.672039,-0.203113,-0.031877,-0.034689,-0.000000,-2.260987,-0.418563,-0.238800,-0.000096,0.000000,0.086284,-0.363179,0.250110,0.000008,0.000051,-3.053774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.275468,3.701946,0.708463,-0.058087,0.075400,0.052115,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.655608,7,253,253,253,253,253,253,1,0.210690,0.076614,9.404425,0.000000,1.000000,0.000000,47.514931,47.582996,0.636710,47.455936,47.398605,47.513268,47.484600,47.298275,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.129757,148.728478,19379.678404,-33.659930,-11.282897,33.977140,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241511.032000,1.437494,-1.089114,2.525809,3.275377,1.572121,3.357390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.260958,-0.418476,-0.238804,-0.000098,0.000000,-0.000000,-23.522979,-4.324019,-1.846392,-0.000769,0.000000,1.437485,-1.089123,2.525852,3.275410,1.572132,3.357390,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.353759,-1.826874,-0.629099,-0.183022,-0.028113,-0.029453,-0.000000,-2.260958,-0.418476,-0.238804,-0.000098,0.000000,0.086287,-0.363178,0.250107,0.000035,0.000097,-3.053761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.280433,3.392658,0.498272,-0.063500,0.075041,0.047812,0.086290,-0.363187,0.250113,0.000000,-0.000000,-3.053753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,28.375000,29.187500,27.687500,31.812500,35.062500,36.187500,0.647653,7,253,253,253,253,253,253,1,0.210690,0.114922,9.404425,0.000000,1.000000,0.000000,47.497021,47.541798,0.650136,47.470268,47.412937,47.527599,47.527599,47.326939,47.398605,0,1,-0.000000,-0.000000,0.004000,0.004000,1,1,-648.097696,149.036149,19379.468190,-33.654507,-11.283016,33.972835,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
